Id,Season
1951,1951-52
1952,1952-53
1953,1953-54
1954,1954-55
1955,1955-56
1956,1956-57
1957,1957-58
1958,1958-59
1959,1959-60
1960,1960-61
1961,1961-62
1962,1962-63
1963,1963-64
1964,1964-65
1965,1965-66
1966,1966-67
1967,1967-68
1968,1968-69
1969,1969-70
1970,1970-71
1971,1971-72
1972,1972-73
1973,1973-74
1974,1974-75
1975,1975-76
1976,1976-77
1977,1977-78
1978,1978-79
1979,1979-80
1980,1980-81
1981,1981-82
1982,1982-83
1983,1983-84
1984,1984-85
1985,1985-86
1986,1986-87
1987,1987-88
1988,1988-89
1989,1989-90
1990,1990-91
1991,1991-92
1992,1992-93
1993,1993-94
1994,1994-95
1995,1995-96
1996,1996-97
1997,1997-98
1998,1998-99
1999,1999-00
2000,2000-01
2001,2001-02
2002,2002-03
2003,2003-04
2004,2004-05
2005,2005-06
2006,2006-07
2007,2007-08
2008,2008-09
2009,2009-10
2010,2010-11
2011,2011-12
2012,2012-13
2013,2013-14
2014,2014-15
2015,2015-16
2016,2016-17
2017,2017-18
2018,2018-19
2019,2019-20
2020,2020-21
2021,2021-22
2022,2022-23
